Total Project Cost,Size Of Home,size_of_home_flag,Number Of Units,Location_1_latitude,Location_1_Longitude,Project Completion Date,Job Type,Type Of Dwelling,Pre-Retrofit Home Heating Fuel Type,Year Home Built
9661.0,1484,0,1,42.110115,-76.032545,2023-06-22,Home Performance,Single Family,Oil,
11867.0,1664,0,1,40.697715,-73.786045,2023-06-22,Home Performance,Single Family,Natural Gas,
9998.0,1252,0,1,43.325035,-76.41174,2023-06-20,Home Performance,Single Family,Natural Gas,
6880.0,1700,0,1,44.695165,-74.704765,2023-06-13,Home Performance,Single Family,Oil,
12289.0,2680,0,1,43.2312547,-75.8681922,2023-06-13,Home Performance,Single Family,Oil,
10274.0,924,0,1,42.6270335,-74.1561857,2023-05-11,Home Performance,Mobile,Kerosene,
8828.0,3056,0,1,42.851925,-75.755585,2023-05-10,Home Performance,Single Family,Oil,
6110.0,2100,0,1,41.29055,-73.91912,2023-05-10,Home Performance,Single Family,Oil,
6972.0,1254,0,1,42.82742,-78.088825,2023-05-09,Home Performance,Mobile,Propane,
9172.0,1384,0,1,42.8545569,-75.6589631,2023-05-04,Home Performance,Single Family,Oil,
14173.0,1199,0,1,40.7821,-73.80042,2023-05-02,Home Performance,Single Family,Oil,
6710.0,1392,0,1,42.9949037,-78.1825313,2023-04-27,Home Performance,Single Family,Oil,
9570.0,980,0,1,43.21118,-75.458425,2023-04-20,Home Performance,Mobile,Propane,
2928.0,2304,0,1,43.13375,-75.58285,2023-04-11,Home Performance,Single Family,Natural Gas,
11631.0,1512,0,1,43.325035,-76.41174,2023-04-07,Home Performance,Mobile,Propane,
19670.0,1198,0,1,41.4452505,-74.419957,2023-03-21,Home Performance,Single Family,Oil,
9616.0,1893,0,1,43.33471,-73.678785,2023-03-14,Home Performance,Single Family,Oil,
6568.0,840,0,1,43.0529373,-74.3424296,2023-02-28,Home Performance,Mobile,Kerosene,
8167.0,960,0,1,43.1010822,-75.2472726,2023-02-07,Home Performance,Single Family,Natural Gas,
8864.0,1080,0,1,43.1886557,-75.0152971,2023-01-17,Home Performance,Mobile,Propane,
19789.0,938,0,1,43.302289,-75.5188154,2022-12-22,Home Performance,Mobile,Propane,
5079.0,1152,0,1,42.7218494,-77.6728114,2022-12-20,Home Performance,Single Family,Propane,
6241.0,3400,0,1,40.712345,-73.95398,2022-12-13,Home Performance,Single Family,Natural Gas,
12107.0,1496,0,1,43.1081085,-74.2690485,2022-12-06,Home Performance,Single Family,Oil,
10882.0,2666,0,2,40.694725,-73.73937,2022-11-17,Home Performance,Single Family,Natural Gas,
9832.0,910,0,1,44.8206904,-74.5602555,2022-10-25,Home Performance,Mobile,Propane,
12470.0,1540,0,1,42.105545,-76.26612,2022-10-06,Home Performance,Single Family,Oil,
7603.0,3080,0,1,42.78975,-77.5818951,2022-09-27,Home Performance,Single Family,Propane,
9074.0,924,0,1,43.006105,-73.851605,2022-09-15,Home Performance,Mobile,Propane,2006
7625.0,845,0,1,42.0644185,-79.7450859,2022-06-28,Home Performance,Mobile,Propane,1998
8238.0,1536,0,1,43.48398,-75.335415,2022-06-28,Home Performance,Single Family,Oil,
5038.0,840,0,1,40.650265,-73.927795,2022-06-23,Home Performance,Single Family,Natural Gas,
9994.0,2299,0,1,40.69992,-73.80949,2022-05-24,Home Performance,Single Family,Natural Gas,
8475.0,1368,0,1,43.3367062,-75.7482485,2022-05-17,Home Performance,Single Family,Oil,
6981.0,1100,0,1,43.302289,-75.5188154,2022-05-17,Home Performance,Single Family,Pellets,
7678.0,1008,0,1,43.3244276,-75.1890252,2022-05-12,Home Performance,Mobile,Propane,
6844.0,1710,0,1,43.21118,-75.458425,2022-04-05,Home Performance,Single Family,Propane,
9550.0,1472,0,1,42.9297647,-74.6269854,2022-04-05,Home Performance,Mobile,Kerosene,
5394.0,2584,0,1,43.047035,-76.108085,2022-03-29,Home Performance,Single Family,Natural Gas,
4069.0,2220,0,1,43.21118,-75.458425,2022-03-24,Home Performance,Single Family,Natural Gas,
4122.0,1152,0,2,40.694725,-73.73937,2022-03-08,Home Performance,Single Family,Natural Gas,
27591.0,1608,0,1,43.2204905,-76.8164533,2022-02-22,Home Performance,Single Family,Wood,1902
6279.0,1560,0,1,43.09528,-75.22754,2022-02-08,Home Performance,Single Family,Natural Gas,
10721.0,1691,0,1,42.90832,-78.83677,2022-01-11,Home Performance,Single Family,Natural Gas,
9230.0,1760,0,1,43.48398,-75.335415,2021-12-14,Home Performance,Single Family,Oil,
3908.0,1056,0,1,43.6197333,-75.3653622,2021-12-14,Home Performance,Single Family,Other,
12780.0,3588,0,1,41.357035,-74.27481,2021-11-02,Home Performance,Single Family,Oil,
3712.0,2052,0,1,40.865445,-73.90126,2021-10-19,Home Performance,Single Family,Oil,1922
7621.0,1134,0,1,43.2108091,-75.7224284,2021-10-12,Home Performance,Single Family,Propane,1951
4684.0,1500,0,1,43.2324863,-76.2209251,2021-08-26,Home Performance,Single Family,Oil,1966
2788.0,1350,0,1,43.0079193,-75.0060305,2021-07-13,Home Performance,Single Family,Oil,
10453.0,1820,0,1,42.96566,-78.873825,2021-07-06,Home Performance,Single Family,Other,
6600.0,952,0,1,43.288235,-74.01149,2021-06-21,Home Performance,Mobile,Propane,1984
8783.0,1736,0,1,43.29767,-75.61509,2021-05-06,Home Performance,Single Family,Propane,1921
13663.0,2494,0,1,42.4415195,-76.0365452,2021-04-20,Home Performance,Single Family,Other,
5257.0,994,0,1,42.97894,-75.24988,2021-03-30,Home Performance,Mobile,Oil,
4982.0,980,0,1,43.01129,-75.00465,2021-03-30,Home Performance,Mobile,Propane,
5730.0,2953,0,1,42.53725,-78.9316132,2021-01-26,Home Performance,Single Family,Propane,1977
6992.0,1248,0,1,43.006105,-73.851605,2021-01-19,Home Performance,Mobile,Propane,1991
7954.0,924,0,1,43.566945,-76.128275,2020-12-01,Home Performance,Mobile,Propane,1981
2915.0,1056,0,1,42.5311852,-75.521324,2020-12-01,Home Performance,Single Family,Oil,1936
5616.0,1296,0,1,43.10185,-74.77389,2020-11-03,Home Performance,Single Family,Oil,
6866.0,972,0,1,43.0200289,-76.1626311,2020-09-03,Home Performance,Single Family,Natural Gas,1951
4859.0,924,0,1,43.31597,-76.703585,2020-08-20,Home Performance,Mobile,Propane,1994
5412.0,1248,0,1,40.764105,-73.874425,2020-03-25,Home Performance,Single Family,Natural Gas,1928
4721.0,882,0,1,43.1010822,-75.2472726,2020-03-18,Home Performance,Single Family,Natural Gas,
5480.0,1774,0,1,43.04923,-75.38455,2020-03-03,Home Performance,Single Family,Natural Gas,
1191.0,1556,0,1,43.1010822,-75.2472726,2020-03-03,Home Performance,Single Family,Electric,
1329.0,896,0,1,43.457085,-76.499485,2020-02-18,Home Performance,Single Family,Natural Gas,1966
6640.0,910,0,1,42.444575,-76.5001,2020-01-20,Home Performance,Mobile,Propane,
2000.0,980,0,1,42.359395,-73.599105,2020-01-07,Home Performance,Mobile,Propane,1999
1891.0,1250,0,1,44.850165,-74.294435,2019-12-06,Home Performance,Single Family,Oil,
8655.0,1056,0,1,43.325035,-76.41174,2019-12-03,Home Performance,Mobile,Propane,1986
9219.0,1112,0,1,43.457085,-76.499485,2019-11-22,Home Performance,Mobile,Electric,1974
5027.0,2340,0,1,42.820135,-78.82654,2019-11-22,Home Performance,Single Family,Natural Gas,1921
1221.0,1698,0,1,41.469245,-74.53784,2019-11-22,Home Performance,Single Family,Oil,1953
1156.0,1064,0,1,43.134105,-73.76468,2019-10-24,Home Performance,Mobile,Propane,1996
6713.0,858,0,1,43.302289,-75.5188154,2019-10-17,Home Performance,Mobile,Other,
6078.0,840,0,1,43.0644068,-77.31804,2019-10-07,Home Performance,Mobile,Propane,1984
12653.0,1351,0,1,43.1010822,-75.2472726,2019-10-04,Home Performance,Single Family,Oil,1952
6571.0,800,0,1,42.251635,-73.78808,2019-09-30,Home Performance,Single Family,Oil,
4834.0,1140,0,1,43.0257179,-76.1480025,2019-09-25,Home Performance,Single Family,Natural Gas,
5365.0,1064,0,1,43.31688,-76.57583,2019-09-09,Home Performance,Mobile,Propane,1977
3713.0,1836,0,1,43.3244276,-75.1890252,2019-08-20,Home Performance,Single Family,Oil,1998
2245.0,1768,0,1,42.0063557,-76.5395682,2019-07-11,Home Performance,Mobile,Natural Gas,2002
5793.0,1228,0,1,43.3012781,-75.4464436,2019-06-28,Home Performance,Single Family,Oil,1971
1726.0,3250,0,1,42.71195,-76.02915,2019-05-31,Home Performance,Single Family,Propane,1951
5752.0,1199,0,1,43.4831,-73.8852403,2019-05-02,Home Performance,Mobile,Propane,
5967.0,980,0,1,43.4238102,-75.8870704,2019-04-29,Home Performance,Mobile,Propane,
5761.0,1456,0,1,43.0803912,-78.1866858,2019-04-11,Home Performance,Mobile,Propane,
1346.0,1480,0,1,43.014355,-75.043565,2019-04-11,Home Performance,Single Family,Natural Gas,
5050.0,980,0,1,43.2455012,-76.725241,2019-04-01,Home Performance,Mobile,Propane,1987
4286.0,875,0,1,43.21118,-75.458425,2019-03-28,Home Performance,Single Family,Natural Gas,1945
5626.0,1664,0,1,43.09528,-75.22754,2019-03-25,Home Performance,Single Family,Natural Gas,
6848.0,888,0,1,43.04923,-75.38455,2019-02-15,Home Performance,Mobile,Kerosene,1984
5754.0,960,0,1,43.43901,-75.202225,2019-02-15,Home Performance,Mobile,Kerosene,1979
5669.0,1364,0,1,43.09528,-75.22754,2019-02-11,Home Performance,Single Family,Natural Gas,1921
4479.0,800,0,1,43.064965,-76.99033,2019-01-28,Home Performance,Single Family,Propane,1988
4392.0,1500,0,1,42.444575,-76.5001,2018-12-03,Home Performance,Mobile,Propane,1997
4628.0,1248,0,1,40.69992,-73.80949,2018-12-03,Home Performance,Single Family,Natural Gas,1961
6371.0,840,0,1,43.21118,-75.458425,2018-11-09,Home Performance,Mobile,Propane,1981
5007.0,1624,0,1,42.0936427,-79.3746095,2018-09-24,Home Performance,Mobile,Propane,2004
2457.0,960,0,1,42.600225,-76.18184,2018-09-06,Home Performance,Mobile,Propane,1997
5131.0,2000,0,1,41.33131,-74.188885,2018-08-06,Home Performance,Single Family,Natural Gas,1971
5622.0,840,0,1,43.302289,-75.5188154,2018-07-26,Home Performance,Mobile,Kerosene,1985
7299.0,1716,0,1,43.21118,-75.458425,2018-06-28,Home Performance,Single Family,Natural Gas,1953
5681.0,980,0,1,43.31688,-76.57583,2018-06-18,Home Performance,Mobile,Wood,1993
2215.0,2399,0,1,43.1010822,-75.2472726,2018-05-18,Home Performance,Single Family,Natural Gas,1961
5039.0,840,0,1,42.87772,-75.913565,2018-04-13,Home Performance,Mobile,Propane,1991
6835.0,875,0,1,43.48398,-75.335415,2018-03-28,Home Performance,Single Family,Wood,
1016.0,980,0,1,43.06062,-73.9172,2018-03-28,Home Performance,Mobile,Propane,
5731.0,1296,0,1,43.31688,-76.57583,2018-02-12,Home Performance,Single Family,Propane,1920
4998.0,1200,0,1,43.069655,-75.601065,2018-02-12,Home Performance,Single Family,Oil,1957
3048.0,802,0,1,43.140465,-78.885555,2018-01-04,Home Performance,Mobile,Natural Gas,
9998.0,1860,0,1,40.698085,-73.834705,2022-05-31,Home Performance,Single Family,Natural Gas,
6388.0,1331,0,1,43.181935,-77.60976,2023-05-16,Home Performance,Single Family,Natural Gas,
11238.0,1456,0,1,43.22041,-77.64325,2022-12-20,Home Performance,Single Family,Natural Gas,
11755.0,1358,0,1,43.21119,-77.696605,2023-06-15,Home Performance,Single Family,Natural Gas,
14782.0,2188,0,1,43.289475,-77.78763,2022-06-07,Home Performance,Single Family,Natural Gas,
1324.0,1197,0,1,40.874915,-73.867125,2022-03-17,Electric Reduction,Single Family,Natural Gas,
1900.0,1536,0,1,43.243405,-78.193475,2022-01-11,Home Performance,Single Family,Natural Gas,1942
5697.0,1296,0,1,42.884806082,-78.750933104,2022-03-18,Home Performance,Single Family,Natural Gas,
13769.0,1762,0,2,40.644345,-73.905535,2023-06-13,Home Performance,Single Family,Natural Gas,
4912.0,1190,0,1,40.7265495,-73.2512226,2023-06-29,Home Performance,Single Family,Natural Gas,
12068.0,1690,0,1,42.2107053,-78.1354188,2022-10-06,Home Performance,Single Family,Natural Gas,
8646.0,1600,0,1,44.21656,-75.79918,2022-03-22,Home Performance,Mobile,Propane,1992
3135.0,2328,0,2,43.325035,-76.41174,2022-03-31,Home Performance,Single Family,Natural Gas,
5959.0,1917,0,1,43.2437358,-75.2562974,2023-03-09,Home Performance,Single Family,Kerosene,
13022.0,1730,0,1,42.71195,-76.02915,2023-02-28,Home Performance,Single Family,Oil,
12867.0,1469,0,1,43.1983016,-77.6344761,2023-01-25,Home Performance,Single Family,Natural Gas,
10838.0,3512,0,1,42.88617,-75.189695,2023-03-07,Home Performance,Single Family,Oil,
7477.0,938,0,1,41.53425,-73.901355,2022-05-12,Home Performance,Mobile,Propane,
1476.0,1232,0,1,43.090764,-78.96109,2022-11-11,Home Performance,Single Family,Natural Gas,
2334.0,800,0,1,42.600225,-76.18184,2022-08-25,Home Performance,Single Family,Natural Gas,
6864.0,1344,0,1,43.3244276,-75.1890252,2022-07-19,Home Performance,Single Family,Wood,
4436.0,1335,0,1,42.91278,-76.795365,2022-01-27,Home Performance,Single Family,Natural Gas,
12853.0,1876,0,1,40.67144,-73.81526,2023-05-16,Home Performance,Single Family,Oil,
8066.0,1926,0,1,41.33131,-74.188885,2023-01-10,Home Performance,Single Family,Natural Gas,
7764.0,896,0,1,42.0737105,-75.8181345,2023-04-27,Home Performance,Mobile,Propane,
12315.0,856,0,1,43.0650476,-76.1505831,2022-06-16,Home Performance,Single Family,Natural Gas,1901
