Reporting Period,Project ID,Project County,Project City,Project ZIP,Gas Utility,Electric Utility,Project Completion Date,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Year Home Built,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate,size_of_home_flag,Home Built Year Range,Project Cost Range,Location_1_latitude,Location_1_Longitude
2023-06-30,577366,Broome,Endicott,13760,New York State Electric & Gas,New York State Electric & Gas,2023-06-22,9661.0,Oil,,1484,1,Home Performance,Single Family,Building Shell,277.0,24.0,6.826545223556594,0,Missing,1000 - 10000,42.110115,-76.032545
2023-06-30,581070,Queens,Queens,11433,National Grid,Consolidated Edison,2023-06-22,11867.0,Natural Gas,,1664,1,Home Performance,Single Family,Building Shell,1062.0,66.0,7.221105098182496,0,Missing,10000 - 20000,40.697715,-73.786045
2023-06-30,570945,Oswego,Fulton,13069,National Grid,National Grid,2023-06-20,9998.0,Natural Gas,,1252,1,Home Performance,Single Family,Building Shell,59.0,60.0,6.489204931325317,0,Missing,1000 - 10000,43.325035,-76.41174
2023-06-30,571921,St. Lawrence,Nicholville,12965,Saint Lawrence Gas,National Grid,2023-06-13,6880.0,Oil,,1700,1,Home Performance,Single Family,Building Shell,482.0,15.0,6.4457198193855785,0,Missing,1000 - 10000,44.695165,-74.704765
2023-06-30,555646,Oswego,Cleveland,13042,National Grid,National Grid,2023-06-13,12289.0,Oil,,2680,1,Home Performance,Single Family,Building Shell,690.0,78.0,7.490529402060711,0,Missing,10000 - 20000,43.2312547,-75.8681922
2023-06-30,479238,Albany,Berne,12023,National Grid,National Grid,2023-05-11,10274.0,Kerosene,,924,1,Home Performance,Mobile,Building Shell,332.0,19.0,6.306275286948016,0,Missing,10000 - 20000,42.6270335,-74.1561857
2023-06-30,575845,Madison,Erieville,13061,National Grid,Municipal,2023-05-10,8828.0,Oil,,3056,1,Home Performance,Single Family,Building Shell,6544.0,29.0,7.385851078125209,0,Missing,1000 - 10000,42.851925,-75.755585
2023-06-30,571297,Westchester,Peekskill,10566,Consolidated Edison,Consolidated Edison,2023-05-10,6110.0,Oil,,2100,1,Home Performance,Single Family,Building Shell,70.0,38.0,6.835184586147301,0,Missing,1000 - 10000,41.29055,-73.91912
2023-06-30,551638,Wyoming,Wyoming,14591,National Fuel Gas Distribution,National Grid,2023-05-09,6972.0,Propane,,1254,1,Home Performance,Mobile,Building Shell,1207.0,26.0,6.71295620067707,0,Missing,1000 - 10000,42.82742,-78.088825
2023-06-30,571793,Madison,Eaton,13334,New York State Electric & Gas,New York State Electric & Gas,2023-05-04,9172.0,Oil,,1384,1,Home Performance,Single Family,Building Shell,1231.0,31.0,6.70808408385307,0,Missing,1000 - 10000,42.8545569,-75.6589631
2023-06-30,562316,Queens,Queens,11357,National Grid,Consolidated Edison,2023-05-02,14173.0,Oil,,1199,1,Home Performance,Single Family,Building Shell,471.0,86.0,7.684783943522785,0,Missing,10000 - 20000,40.7821,-73.80042
2023-06-30,575676,Genesee,Batavia,14020,National Fuel Gas Distribution,National Grid,2023-04-27,6710.0,Oil,,1392,1,Home Performance,Single Family,Building Shell,244.0,29.0,7.085064293952548,0,Missing,1000 - 10000,42.9949037,-78.1825313
