"Reporting Period","Project ID","Project County","Project City","Project ZIP","Gas Utility","Electric Utility","Project Completion Date","Total Project Cost","Pre-Retrofit Home Heating Fuel Type","Year Home Built","Size Of Home","Number Of Units","Job Type","Type Of Dwelling","Measure Type","Estimated Annual kWh Savings","Estimated Annual MMBtu Savings","First Year Modeled Project Energy Savings $ Estimate","Location 1"
"06/30/2023","577366","Broome","Endicott","13760",,"New York State Electric & Gas","06/22/2023","$9,661.00","Oil",,"1484","1","Home Performance","Single Family","Building Shell","277.00","24.00","$921.00"," Endicott NY 13760 (42.110115, -76.032545)"
"06/30/2023","581070","Queens","Queens","11433",,"Consolidated Edison","06/22/2023","$11,867.00","Natural Gas",,"1664","1","Home Performance","Single Family","Building Shell","1,062.00","66.00","$1,367.00"," Queens NY 11433 (40.697715, -73.786045)"
"06/30/2023","570945","Oswego","Fulton","13069","National Grid","National Grid","06/20/2023","$9,998.00","Natural Gas",,"1252","1","Home Performance","Single Family","Building Shell","59.00","60.00","$657.00"," Fulton NY 13069 (43.325035, -76.41174)"
"06/30/2023","571921","St. Lawrence","Nicholville","12965",,"National Grid","06/13/2023","$6,880.00","Oil",,"1700","1","Home Performance","Single Family","Building Shell","482.00","15.00","$629.00"," Nicholville NY 12965 (44.695165, -74.704765)"
"06/30/2023","555646","Oswego","Cleveland","13042",,"National Grid","06/13/2023","$12,289.00","Oil",,"2680","1","Home Performance","Single Family","Building Shell","690.00","78.00","$1,790.00"," Cleveland NY 13042 (43.2312547, -75.8681922)"
"06/30/2023","479238","Albany","Berne","12023",,"National Grid","05/11/2023","$10,274.00","Kerosene",,"924","1","Home Performance","Mobile","Building Shell","332.00","19.00","$547.00"," Berne NY 12023 (42.6270335, -74.1561857)"
"06/30/2023","575845","Madison","Erieville","13061",,"Municipal","05/10/2023","$8,828.00","Oil",,"3056","1","Home Performance","Single Family","Building Shell","6,544.00","29.00","$1,612.00"," Erieville NY 13061 (42.851925, -75.755585)"
"06/30/2023","571297","Westchester","Peekskill","10566",,"Consolidated Edison","05/10/2023","$6,110.00","Oil",,"2100","1","Home Performance","Single Family","Building Shell","70.00","38.00","$929.00"," Peekskill NY 10566 (41.29055, -73.91912)"
"06/30/2023","551638","Wyoming","Wyoming","14591",,"National Grid","05/09/2023","$6,972.00","Propane",,"1254","1","Home Performance","Mobile","Building Shell","1,207.00","26.00","$822.00"," Wyoming NY 14591 (42.82742, -78.088825)"
"06/30/2023","571793","Madison","Eaton","13334",,"New York State Electric & Gas","05/04/2023","$9,172.00","Oil",,"1384","1","Home Performance","Single Family","Building Shell","1,231.00","31.00","$818.00"," Eaton NY 13334 (42.8545569, -75.6589631)"
"06/30/2023","562316","Queens","Queens","11357",,"Consolidated Edison","05/02/2023","$14,173.00","Oil",,"1199","1","Home Performance","Single Family","Building Shell","471.00","86.00","$2,174.00"," Queens NY 11357 (40.7821, -73.80042)"
"06/30/2023","575676","Genesee","Batavia","14020",,"National Grid","04/27/2023","$6,710.00","Oil",,"1392","1","Home Performance","Single Family","Building Shell","244.00","29.00","$1,193.00"," Batavia NY 14020 (42.9949037, -78.1825313)"
"06/30/2023","574992","Oneida","Rome","13440",,"National Grid","04/20/2023","$9,570.00","Propane",,"980","1","Home Performance","Mobile","Building Shell","532.00","61.00","$1,947.00"," Rome NY 13440 (43.21118, -75.458425)"
"06/30/2023","551348","Oneida","Verona","13478","National Grid","National Grid","04/11/2023","$2,928.00","Natural Gas",,"2304","1","Home Performance","Single Family","Building Shell","409.00","30.00","$373.00"," Verona NY 13478 (43.13375, -75.58285)"
"06/30/2023","549378","Oswego","Fulton","13069",,"National Grid","04/07/2023","$11,631.00","Propane",,"1512","1","Home Performance","Mobile","Building Shell","231.00","19.00","$629.00"," Fulton NY 13069 (43.325035, -76.41174)"
"06/30/2023","548478","Orange","Middletown","10940",,"Orange & Rockland","03/21/2023","$19,670.00","Oil",,"1198","1","Home Performance","Single Family","Building Shell","1,247.00","27.00","$835.00"," Middletown NY 10940 (41.4452505, -74.419957)"
