Project County,Project City,Gas Utility,Electric Utility,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Year Home Built,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate,size_of_home_flag,Location_1_latitude,Location_1_Longitude,Project Completion Year,Project Completion Month,Project Completion Day,Age of Home
Broome,Endicott,New York State Electric & Gas,New York State Electric & Gas,9661.0,Oil,1973,1484,1,Home Performance,Single Family,Building Shell,277.0,24.0,6.826545223556594,0,42.110115,-76.032545,2023,6,22,50
Queens,Queens,National Grid,Consolidated Edison,11867.0,Natural Gas,1933,1664,1,Home Performance,Single Family,Building Shell,1062.0,66.0,7.221105098182496,0,40.697715,-73.786045,2023,6,22,90
Oswego,Fulton,National Grid,National Grid,9998.0,Natural Gas,1944,1252,1,Home Performance,Single Family,Building Shell,59.0,60.0,6.489204931325317,0,43.325035,-76.41174,2023,6,20,79
St. Lawrence,Nicholville,Saint Lawrence Gas,National Grid,6880.0,Oil,1914,1700,1,Home Performance,Single Family,Building Shell,482.0,15.0,6.4457198193855785,0,44.695165,-74.704765,2023,6,13,109
Oswego,Cleveland,National Grid,National Grid,12289.0,Oil,1891,2680,1,Home Performance,Single Family,Building Shell,690.0,78.0,7.490529402060711,0,43.2312547,-75.8681922,2023,6,13,132
Albany,Berne,National Grid,National Grid,10274.0,Kerosene,1992,924,1,Home Performance,Mobile,Building Shell,332.0,19.0,6.306275286948016,0,42.6270335,-74.1561857,2023,5,11,31
Madison,Erieville,National Grid,Municipal,8828.0,Oil,1885,3056,1,Home Performance,Single Family,Building Shell,6544.0,29.0,7.385851078125209,0,42.851925,-75.755585,2023,5,10,138
Westchester,Peekskill,Consolidated Edison,Consolidated Edison,6110.0,Oil,1964,2100,1,Home Performance,Single Family,Building Shell,70.0,38.0,6.835184586147301,0,41.29055,-73.91912,2023,5,10,59
Wyoming,Wyoming,National Fuel Gas Distribution,National Grid,6972.0,Propane,1994,1254,1,Home Performance,Mobile,Building Shell,1207.0,26.0,6.71295620067707,0,42.82742,-78.088825,2023,5,9,29
Madison,Eaton,New York State Electric & Gas,New York State Electric & Gas,9172.0,Oil,1954,1384,1,Home Performance,Single Family,Building Shell,1231.0,31.0,6.70808408385307,0,42.8545569,-75.6589631,2023,5,4,69
Queens,Queens,National Grid,Consolidated Edison,14173.0,Oil,1946,1199,1,Home Performance,Single Family,Building Shell,471.0,86.0,7.684783943522785,0,40.7821,-73.80042,2023,5,2,77
Genesee,Batavia,National Fuel Gas Distribution,National Grid,6710.0,Oil,1906,1392,1,Home Performance,Single Family,Building Shell,244.0,29.0,7.085064293952548,0,42.9949037,-78.1825313,2023,4,27,117
Oneida,Rome,National Grid,National Grid,9570.0,Propane,1984,980,1,Home Performance,Mobile,Building Shell,532.0,61.0,7.57455848420248,0,43.21118,-75.458425,2023,4,20,39
Oneida,Verona,National Grid,National Grid,2928.0,Natural Gas,1937,2304,1,Home Performance,Single Family,Building Shell,409.0,30.0,5.924255797414532,0,43.13375,-75.58285,2023,4,11,86
